Date,Price,Url,Description
24/5,545.000 kr.,http://www.dba.dk/4894-4-244-788-1890/id-90710076/,"4894 4, 244, 788, 1890, Strandbyvej 1, 2535, 2098, 30000, Villa"
24/5,1.595.000 kr.,http://www.dba.dk/5471-landejendom-6-372/id-90710103/,"5471 Landejendom, 6, 372, 79493, 1871, Hannover 10, 7334, 6095, 80000"
24/5,3.995.000 kr.,http://www.dba.dk/8600-8-233-51584-1906/id-90710094/,"8600 8, 233, 51584, 1906, Sindingvej 59, 18268, 15251, 200000, Villa"
24/5,595.000 kr.,http://www.dba.dk/9480-4-124-700-1976/id-90710107/,"9480 4, 124, 700, 1976, Grønningen 10, 2779, 2306, 30000, Villa"
24/5,795.000 kr.,http://www.dba.dk/6830-5-174-2060-1938/id-94973620/,"6830 5, 174, 2060, 1938, Tarpvej 140, 3736, 3105, 40000, Villa"
24/5,545.000 kr.,http://www.dba.dk/4913-3-127-429-1877/id-94973609/,"4913 3, 127, 429, 1877, Fynbovej 48, 2526, 2071, 30000, Villa"
24/5,195.000 kr.,http://www.dba.dk/5800-1181-kertemindevej-121/id-92345897/,"5800 1181, Kertemindevej 121, Helårsgrund, 1046, 804, 25000"
24/5,998.000 kr.,http://www.dba.dk/8560-4-112-4410-1913/id-90631731/,"8560 4, 112, 4410, 1913, Sivestedvej 11, 4630, 3842, 50000, Villa"
24/5,1.295.000 kr.,http://www.dba.dk/7100-ejerlejlighed-4-101/id-90631632/,"7100 Ejerlejlighed, 4, 101, Aagade 2B, 1, 1900, 5900, 4979, 65000"
24/5,8.900.000 kr.,http://www.dba.dk/8370-landejendom-4-150/id-94973594/,"8370 Landejendom, 4, 150, 411701, byggeår:, Landevejen 223, bt. kr, nt. kr, 8900000"
24/5,999.000 kr.,http://www.dba.dk/6630-6-143-8106-1852-jels/id-94973567/,"6630 6, 143, 8106, 1852, Jels Skovvej 17, 4514, 3776, 50000, Villa"
24/5,995.000 kr.,http://www.dba.dk/7700-5-130-564-1943/id-92894151/,"7700 5, 130, 564, 1943, Voldgade 8, 4538, 3762, 50000, Villa"
24/5,1.695.000 kr.,http://www.dba.dk/4200-4-125-726-1968/id-94973541/,"4200 4, 125, 726, 1968, Valmuevej 5, 7793, 6540, 85000, Villa"
24/5,495.000 kr.,http://www.dba.dk/9800-1095-kompasset-grund/id-94973534/,"9800 1095, Kompasset - Grund J, Helårsgrund, bt. kr, nt. kr, 495000"
24/5,598.000 kr.,http://www.dba.dk/6971-ejerlejlighed-4-102/id-93628816/,"6971 Ejerlejlighed, 4, 102, Lindevej 9C, 1980, 2742, 2296, 30000"
24/5,4.375.000 kr.,http://www.dba.dk/5260-6-199-970-2007/id-94973512/,"5260 6, 199, 970, 2007, Rulkedalen 90B, 19994, 16783, 220000, Villa"
24/5,495.000 kr.,http://www.dba.dk/6280-6-114-615-1951/id-90631765/,"6280 6, 114, 615, 1951, Sejerslevvej 19, bt. kr, nt. kr, 495000, Villa"
24/5,1.395.000 kr.,http://www.dba.dk/9493-5-147-3241-1970/id-93105215/,"9493 5, 147, 3241, 1970, Bundgaardsvej 9, 6367, 5293, 70000, Villa"
